,MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnit1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemapproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Target
1010,1,8,3,14,1,1,1,1,28,4,4,1,0,0,1,0,0,18,0,0,6,8,6,13.875,0,0,6,7,6,13.71428571,0,11.1,0.6,2.02,1
1011,1,1,2,12,1,1,1,13,14,10,11,1,0,0,1,0,0,18,0,0,7,10,7,13.128,0,0,8,13,6,13.19333333,0,15.5,2.8,-4.06,1
1012,1,8,1,12,1,1,1,13,1,5,4,1,0,0,1,0,0,20,0,0,7,9,6,11.605,0,0,8,10,7,12.4125,0,16.2,0.3,-0.92,1
1013,1,8,1,9,1,1,1,1,28,5,6,0,0,0,1,0,1,18,0,0,5,5,5,14.6,0,0,5,8,5,12,0,12.7,3.7,-1.7,1
1014,1,1,2,15,1,1,1,13,1,5,6,1,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,0
1015,1,-1,2,9,1,1,1,22,28,-1,-1,1,0,0,1,0,1,20,0,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,1
1016,1,8,1,11,1,1,1,13,14,10,9,1,0,0,1,0,0,20,0,0,6,6,6,12.33333333,0,0,6,6,6,12.33333333,0,12.4,0.5,1.79,1
1017,1,8,1,9,1,1,1,22,1,10,10,1,0,1,1,0,1,19,0,0,5,5,4,11,0,0,5,5,0,0,0,11.1,0.6,2.02,0
1018,1,-1,1,5,1,1,1,3,1,4,6,0,0,0,1,0,1,19,0,5,11,11,11,13.18181818,0,5,11,11,11,12.90909091,0,11.1,0.6,2.02,1
1019,1,8,4,14,1,1,1,13,27,10,-1,1,1,1,0,0,1,18,0,0,6,6,1,11,0,0,6,0,0,0,0,12.7,3.7,-1.7,0
1020,1,8,3,15,1,1,1,1,1,5,10,1,0,1,1,0,1,19,0,0,6,6,6,11.83333333,0,0,6,7,6,12.28571429,0,15.5,2.8,-4.06,1
1021,1,1,2,12,1,1,1,1,28,5,8,1,0,0,1,0,1,20,0,0,8,8,8,12.98125,0,0,8,8,8,12.98125,0,9.4,-0.8,-3.12,1
1022,1,15,1,9,1,14,1,13,1,5,10,1,0,0,1,0,0,21,0,4,7,10,6,11.33333333,0,1,5,6,5,11.2,0,11.1,0.6,2.02,1
1023,1,14,2,12,1,1,1,-1,3,3,3,0,0,0,1,0,0,21,0,0,8,12,6,11.68,0,0,8,12,6,11.68,0,10.8,1.4,1.74,1
1024,1,8,1,5,1,1,1,23,28,10,10,0,0,0,1,0,0,20,0,0,6,6,6,14.5,0,0,6,7,6,13.5,0,11.1,0.6,2.02,1
1025,1,-1,2,16,1,1,1,23,28,-1,-1,1,0,0,1,0,0,19,0,0,7,7,7,13.14285714,0,0,7,8,7,12.85714286,0,8.9,1.4,3.51,1
1026,1,8,3,6,1,1,1,1,14,5,-1,0,0,0,0,0,0,21,0,0,5,8,2,11.5,0,0,5,7,2,10.5,0,7.6,2.6,0.32,0
1027,1,1,1,6,1,1,1,-1,14,5,-1,0,0,0,1,0,0,18,0,0,5,6,5,14.2,0,0,5,7,5,11.8,0,7.6,2.6,0.32,1
1028,1,1,5,11,1,1,1,13,27,10,10,0,0,0,1,0,1,19,0,0,6,8,5,11.66666667,0,0,6,7,5,12.2,0,8.9,1.4,3.51,1
1029,1,8,2,12,1,1,1,13,14,10,5,1,0,0,1,0,0,18,0,0,7,8,7,13.175,0,0,8,8,8,14.875,0,13.9,-0.3,0.79,1
1030,1,1,4,12,1,1,1,1,1,10,10,1,0,0,1,0,1,19,0,0,8,8,7,13.31428571,0,0,8,8,7,13.31428571,0,12.7,3.7,-1.7,1
1031,1,1,2,9,1,1,1,1,14,5,4,1,0,0,1,0,1,18,0,0,5,13,3,10.6,0,0,5,12,3,10.5,0,13.9,-0.3,0.79,1
1033,1,1,1,15,1,1,1,22,27,-1,9,0,0,0,1,0,0,18,0,0,6,7,6,13.42857143,0,0,6,7,6,14.14285714,0,13.9,-0.3,0.79,1
1034,1,8,1,6,1,1,1,1,27,10,10,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,8,5,15.57142857,0,10.8,1.4,1.74,1
1035,1,8,1,5,1,1,1,23,14,8,8,1,0,0,1,0,0,18,0,0,6,6,2,13,0,0,6,6,0,0,0,12.4,0.5,1.79,0
1037,1,8,1,10,1,1,1,1,28,10,8,0,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,0
1038,1,1,1,10,1,1,1,1,3,5,3,0,0,0,1,0,0,18,0,0,6,6,6,14,0,0,6,6,6,13.16666667,0,10.8,1.4,1.74,1
1039,1,-1,1,6,1,1,1,1,28,5,10,1,0,0,1,0,1,20,0,1,2,2,2,12,0,1,6,11,6,12.83333333,0,13.9,-0.3,0.79,1
1041,1,8,4,5,1,1,1,1,14,5,6,1,0,0,1,0,0,18,0,0,6,8,5,11.8,0,0,6,7,5,10.4,1,16.2,0.3,-0.92,1
1042,1,-1,-1,12,1,1,1,22,27,10,8,0,0,0,1,0,1,20,0,0,8,8,7,12.79142857,1,0,8,8,7,12.79142857,1,10.8,1.4,1.74,1
1043,-1,14,1,14,1,1,1,22,27,10,7,0,0,0,1,0,0,40,0,4,8,8,8,11.625,0,3,7,12,5,11.2,0,9.4,-0.8,-3.12,1
1044,1,1,-1,12,1,1,1,23,28,10,10,1,0,0,1,0,1,18,0,0,7,11,6,11.99444444,0,0,8,11,7,12.43142857,0,15.5,2.8,-4.06,1
1045,1,1,5,11,1,1,1,13,14,5,8,1,0,0,1,0,0,19,0,0,6,9,5,11.6,0,0,6,12,5,12.2,0,13.9,-0.3,0.79,1
1046,1,-1,1,17,0,-1,1,1,14,5,10,0,0,0,1,0,0,24,0,0,5,5,0,0,0,0,5,6,0,0,0,12.4,0.5,1.79,0
1047,1,1,3,15,1,1,1,3,28,3,11,1,0,0,1,0,0,19,0,0,6,8,6,13.16666667,0,0,6,7,6,13.16666667,0,10.8,1.4,1.74,0
1048,1,1,-1,12,1,1,1,-1,1,5,5,1,0,0,1,0,0,19,0,0,8,8,7,14.1,0,0,8,8,7,14.1,0,10.8,1.4,1.74,1
1049,1,1,1,12,1,1,1,1,14,10,7,1,0,0,1,0,1,20,0,0,7,8,6,12.39666667,0,0,8,9,7,12.94285714,0,11.1,0.6,2.02,1
1050,1,1,1,12,1,1,1,23,28,6,6,0,0,0,1,0,0,18,0,0,7,7,7,15.01428571,0,0,8,8,8,16.0875,0,12.4,0.5,1.79,1
1051,1,1,1,2,1,1,1,1,28,5,9,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,1
1052,1,8,2,12,1,1,1,13,27,5,8,1,0,0,1,0,0,19,0,0,7,8,7,14.05,0,0,8,8,8,15.1,0,13.9,-0.3,0.79,1
1053,1,8,3,12,1,1,1,3,3,5,6,1,0,0,1,0,0,18,0,0,7,8,7,14.85,0,0,8,8,8,15.2,0,13.9,-0.3,0.79,0
1054,1,15,1,6,1,14,1,3,3,3,3,1,0,0,1,0,0,19,0,0,6,10,6,13,0,0,6,19,5,13,0,12.4,0.5,1.79,1
1055,1,1,2,12,1,1,1,22,27,10,8,1,0,0,1,0,1,19,0,0,7,8,7,14.7875,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,1
1056,1,1,1,12,1,1,1,13,14,6,8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.67142857,0,12.4,0.5,1.79,1
1057,1,1,2,12,1,1,1,1,27,5,5,1,0,0,1,0,1,19,0,0,7,7,7,12.49571429,0,0,8,9,7,12.24285714,0,11.1,0.6,2.02,0
1058,1,1,1,12,1,1,1,1,28,-1,8,0,0,0,1,0,0,19,0,0,7,7,6,14.56666667,0,0,7,7,6,14.56666667,0,7.6,2.6,0.32,1
1059,1,12,1,14,1,-1,1,1,14,-1,6,1,0,1,0,0,0,25,0,0,5,5,5,11.2,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,0
1060,1,1,1,12,1,1,1,13,14,5,11,0,0,0,1,0,0,20,0,0,8,8,7,12.68571429,0,0,8,8,7,12.68571429,0,12.7,3.7,-1.7,1
1061,1,-1,1,10,1,-1,1,1,14,6,6,0,0,1,0,0,0,23,0,5,9,12,7,13.57142857,0,4,9,14,4,13.25,0,8.9,1.4,3.51,0
1062,1,1,1,5,1,1,1,13,14,8,8,0,0,0,1,0,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,0
1063,1,12,1,3,0,1,1,22,-1,10,11,0,0,0,1,0,0,27,0,0,6,8,5,11,0,0,6,7,6,11.16666667,0,11.1,0.6,2.02,1
1064,1,1,1,12,1,1,1,13,1,5,5,0,0,0,1,0,0,18,0,0,8,8,8,14.445,0,0,8,8,8,14.445,0,9.4,-0.8,-3.12,1
1066,1,-1,1,3,0,-1,1,13,1,6,11,1,0,1,0,0,0,23,0,7,12,12,11,14,0,4,10,11,8,14.625,0,13.9,-0.3,0.79,0
1067,1,1,-1,12,1,1,1,23,27,6,7,1,0,0,1,0,1,19,0,0,7,7,6,13.41666667,0,0,7,7,6,13.41666667,0,7.6,2.6,0.32,1
1068,1,1,1,9,1,1,1,22,28,4,4,0,0,0,1,0,0,18,0,0,5,8,5,12.33333333,2,0,5,7,5,11.4,0,15.5,2.8,-4.06,1
1069,1,14,1,12,1,1,1,1,14,10,9,1,0,0,1,0,0,20,0,0,7,8,7,13.1,0,0,8,8,8,14.8125,0,13.9,-0.3,0.79,1
1070,1,1,2,14,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,9,4,13.2,0,0,6,10,5,12.8,0,12.4,0.5,1.79,1
1071,1,1,1,12,1,1,1,1,1,5,5,1,0,0,1,0,1,19,0,0,8,8,8,14.75,0,0,8,8,8,14.75,0,9.4,-0.8,-3.12,1
1072,1,15,1,10,1,14,1,13,14,-1,9,1,0,0,1,0,1,19,0,3,6,7,6,13.14285714,0,2,6,6,6,14.33333333,0,12.4,0.5,1.79,1
1074,1,1,1,6,1,1,1,3,3,-1,-1,0,0,0,1,0,0,18,0,0,5,6,4,13.75,0,0,5,8,5,14.85714286,0,7.6,2.6,0.32,1
1075,1,1,1,10,1,1,1,22,27,10,6,0,0,0,1,0,0,18,0,0,6,11,5,12.4,0,0,6,7,6,13,0,9.4,-0.8,-3.12,1
1076,1,1,2,15,1,1,1,13,14,5,8,1,0,0,1,0,0,18,0,0,6,6,6,13.33333333,0,0,6,6,6,12,0,11.1,0.6,2.02,1
1077,1,-1,1,16,1,1,1,13,28,10,10,0,0,0,0,0,0,28,0,11,11,11,11,11.72727273,0,8,8,8,8,12,0,15.5,2.8,-4.06,0
1078,1,8,1,11,1,1,1,22,27,6,10,1,0,0,1,0,0,19,0,0,6,8,4,12.5,0,0,6,11,1,14,0,7.6,2.6,0.32,0
1079,1,14,1,2,1,1,1,3,1,3,4,1,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,0
1080,1,1,2,12,1,1,1,1,27,5,10,1,0,0,1,0,1,19,0,0,7,8,6,13.53333333,0,0,8,9,7,13.61428571,0,12.4,0.5,1.79,1
1081,1,1,1,5,1,1,1,1,14,5,-1,0,1,0,1,0,1,20,0,0,6,6,6,13.16666667,0,0,6,6,6,12.66666667,0,11.1,0.6,2.02,1
1082,1,1,2,11,1,1,1,13,14,10,10,1,0,0,1,0,1,19,0,0,6,9,5,13.2,0,0,6,8,5,11,0,12.4,0.5,1.79,1
1084,1,1,1,16,1,1,1,1,14,10,5,1,0,0,1,0,1,19,0,0,7,7,7,13.42857143,0,0,7,7,7,14.85714286,0,11.1,0.6,2.02,1
1085,1,1,2,5,1,1,1,13,1,10,4,1,0,0,1,0,1,18,0,1,6,8,6,12.71428571,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,1
1086,1,8,2,-1,1,1,1,3,1,3,-1,0,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,0
1087,1,8,1,14,1,1,1,-1,28,10,6,0,0,0,1,0,1,19,0,0,6,6,6,13.66666667,0,0,6,9,6,13.66666667,0,8.9,1.4,3.51,1
1088,1,1,1,15,1,1,1,23,14,-1,-1,0,0,1,1,0,0,20,0,0,6,6,5,11,0,0,6,6,6,13.16666667,0,16.2,0.3,-0.92,1
1091,1,8,1,-1,1,1,1,1,1,5,6,0,0,0,1,0,0,18,0,0,5,7,4,12,0,0,5,6,5,12,0,7.6,2.6,0.32,1
1092,1,8,3,15,1,1,1,13,14,6,9,0,0,0,1,0,0,18,0,0,6,6,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,0
1093,1,8,3,10,1,1,1,22,28,-1,8,1,0,0,1,0,0,18,0,0,6,14,5,11,0,0,6,6,6,11.66666667,0,7.6,2.6,0.32,1
1094,1,-1,4,15,1,1,1,13,14,5,5,1,0,0,1,0,0,20,0,0,6,12,5,12,0,0,6,8,6,11.57142857,0,15.5,2.8,-4.06,0
1095,1,8,3,12,1,1,1,13,1,10,10,1,0,0,1,0,1,19,0,0,7,7,7,13.30857143,0,0,8,10,8,12.55,0,12.4,0.5,1.79,1
1096,1,1,1,16,1,1,1,22,27,10,10,1,0,1,0,0,0,21,0,0,6,8,3,13.66666667,0,0,6,7,3,10.66666667,0,15.5,2.8,-4.06,0
1097,1,8,1,14,1,-1,1,-1,3,6,9,1,0,1,0,0,0,20,0,0,6,6,0,0,0,0,6,9,0,0,0,10.8,1.4,1.74,0
1098,1,1,1,11,1,1,1,22,28,10,10,1,0,0,1,0,0,18,0,0,6,10,5,12.2,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,1
1099,1,1,1,15,1,1,1,1,-1,6,4,0,0,0,1,0,1,20,0,0,6,7,6,12.66666667,0,0,6,6,6,12.83333333,0,10.8,1.4,1.74,1
1100,1,1,2,12,1,1,1,13,27,-1,10,1,0,0,1,0,1,19,0,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,1
1101,1,1,1,6,1,-1,1,13,14,10,10,1,0,0,1,0,0,22,0,0,5,14,4,14.25,3,0,5,9,5,13.2,4,9.4,-0.8,-3.12,0
1102,1,8,1,-1,1,1,1,13,14,10,10,1,0,0,0,0,0,22,0,0,6,0,0,0,0,0,2,2,0,0,2,9.4,-0.8,-3.12,0
1105,1,1,1,10,1,1,1,13,14,-1,6,1,0,0,1,0,0,19,0,0,6,12,2,13,0,0,6,8,5,11.6,0,7.6,2.6,0.32,1
1106,1,1,4,2,1,1,1,22,28,10,10,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,0
1107,1,1,2,12,1,1,1,-1,-1,-1,-1,1,0,0,1,0,1,20,0,0,8,8,7,14.90142857,1,0,8,8,7,14.90142857,1,9.4,-0.8,-3.12,0
1108,1,1,3,12,1,1,1,23,14,-1,9,1,0,1,1,0,1,18,0,0,7,8,7,12.65,0,0,8,9,8,12.44555556,0,15.5,2.8,-4.06,1
1109,1,-1,1,17,0,-1,1,13,27,6,10,0,0,0,0,0,0,22,0,7,12,12,7,11,0,5,5,5,5,10.6,0,8.9,1.4,3.51,0
1110,1,8,4,6,1,1,1,13,-1,-1,8,1,0,0,1,0,0,20,0,0,5,7,4,12.4,0,0,5,9,5,12.66666667,0,7.6,2.6,0.32,1
1111,1,15,1,4,1,14,1,23,28,-1,7,0,0,0,1,0,0,19,0,0,6,7,6,12,0,0,6,7,6,12.66666667,0,12.4,0.5,1.79,1
1112,1,1,5,12,1,1,1,1,14,-1,8,1,0,0,1,0,1,19,0,0,7,8,7,12.13571429,0,0,8,10,7,13.32857143,0,12.4,0.5,1.79,1
1115,1,1,1,12,1,1,1,13,14,10,8,0,0,0,1,0,1,19,0,0,7,12,6,13.76666667,0,0,8,10,7,14.05142857,0,15.5,2.8,-4.06,1
1116,1,-1,1,12,1,1,1,23,27,10,8,1,0,0,1,0,0,19,0,0,8,8,8,13.11625,0,0,8,8,8,13.11625,0,9.4,-0.8,-3.12,1
1117,1,1,1,5,1,1,1,3,28,-1,10,1,0,0,0,0,0,19,0,0,5,5,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,0
1118,1,1,1,12,1,1,1,23,14,10,6,0,0,0,1,0,0,20,0,0,7,9,6,12.7,0,0,8,8,7,13.57142857,0,13.9,-0.3,0.79,1
1120,1,8,1,12,1,1,1,13,28,6,10,1,0,0,1,0,1,20,0,0,7,7,6,12.33333333,0,0,7,7,6,12.33333333,0,7.6,2.6,0.32,1
1122,1,1,3,14,1,1,1,1,1,6,6,0,0,0,1,0,0,20,0,0,5,6,5,13.33333333,0,0,5,6,5,13.2,0,7.6,2.6,0.32,1
1123,1,-1,1,12,1,1,1,1,14,5,9,1,0,0,1,0,0,21,0,4,7,9,7,14.35555556,0,5,8,8,8,13.49375,0,15.5,2.8,-4.06,1
1124,1,15,1,4,1,14,1,22,28,10,10,0,0,1,1,0,1,19,0,0,6,8,6,13,0,0,6,11,5,13,0,15.5,2.8,-4.06,1
1125,1,1,1,15,1,1,1,23,27,10,10,0,0,0,1,0,1,19,0,0,6,6,6,12.83333333,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,1
1126,1,1,2,14,1,1,1,22,28,10,10,0,0,0,1,0,1,21,0,0,5,5,5,13.2,0,0,5,5,4,13,0,9.4,-0.8,-3.12,1
1127,1,12,1,12,1,-1,1,3,27,3,11,0,0,0,1,0,0,28,0,0,7,9,7,17.00555556,0,1,8,9,8,16.58222222,0,15.5,2.8,-4.06,1
1128,1,1,1,10,1,1,1,22,28,10,10,1,0,1,0,0,1,19,0,0,6,8,5,10.6,0,0,6,8,5,11,0,10.8,1.4,1.74,1
1129,1,1,1,9,1,1,1,22,27,10,7,0,0,0,1,0,1,18,0,0,5,5,5,14,0,0,5,6,5,13.6,0,12.4,0.5,1.79,1
1130,-1,8,5,12,1,1,1,22,28,6,9,1,0,0,1,0,1,18,0,0,8,8,7,12.11428571,0,0,8,8,7,12.11428571,0,12.7,3.7,-1.7,1
1131,1,1,3,12,1,1,1,13,27,8,8,1,0,0,1,0,1,18,0,0,8,8,8,13.05875,0,0,8,8,8,13.05875,0,9.4,-0.8,-3.12,1
1132,1,-1,1,12,1,1,1,1,-1,10,4,1,0,0,1,0,0,22,0,4,8,8,7,13.28571429,0,4,8,8,7,13.28571429,0,12.7,3.7,-1.7,1
1134,1,1,1,12,1,1,1,13,1,10,6,0,0,0,1,0,1,18,0,0,7,7,7,14.07142857,0,0,8,8,8,15.1625,0,13.9,-0.3,0.79,1
1135,1,8,1,11,1,1,1,22,27,6,7,0,0,0,0,0,0,20,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,0
1136,1,15,1,2,1,14,1,22,27,6,7,0,0,0,0,0,0,26,0,4,9,9,4,11.25,0,3,10,12,3,11,0,12.4,0.5,1.79,0
1137,1,1,3,5,1,1,1,22,28,10,10,1,0,0,1,0,1,18,0,0,6,6,6,14,0,0,6,8,6,13.625,0,10.8,1.4,1.74,1
1138,1,1,1,11,1,1,1,1,28,5,10,1,0,0,1,0,1,21,0,0,6,8,6,12.16666667,0,0,6,11,3,11.66666667,0,10.8,1.4,1.74,0
1139,1,8,4,12,1,1,1,23,27,4,4,1,0,0,1,0,0,18,0,0,8,8,7,13.29714286,0,0,8,8,7,13.29714286,0,10.8,1.4,1.74,1
1140,1,1,1,6,1,1,1,13,14,5,7,1,0,0,1,0,0,20,0,0,6,14,6,13.92307692,0,0,6,9,6,14.25,0,15.5,2.8,-4.06,1
1141,1,1,-1,12,1,1,1,23,14,6,7,1,0,0,1,0,0,18,0,0,7,11,7,13.37,0,0,8,13,7,12.83333333,0,15.5,2.8,-4.06,1
1143,1,1,1,14,1,1,1,1,1,3,3,1,0,0,1,0,0,20,0,0,5,5,4,15,0,0,5,5,4,13.75,0,7.6,2.6,0.32,0
1144,1,1,1,16,1,1,1,13,14,10,6,0,0,1,1,0,1,18,0,0,6,6,6,13.33333333,0,0,6,7,6,12.57142857,0,12.7,3.7,-1.7,1
1146,1,1,2,3,0,1,1,13,-1,-1,-1,1,0,0,1,0,0,22,0,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,1
1148,1,-1,1,17,0,1,1,13,28,6,8,0,0,0,1,0,0,21,0,1,5,9,4,11.5,0,1,5,5,5,11.4,0,8.9,1.4,3.51,1
1150,1,1,1,12,1,1,1,13,14,5,5,0,0,0,1,0,0,18,0,0,8,8,7,13.48571429,0,0,8,8,7,13.48571429,0,12.7,3.7,-1.7,1
1151,1,1,1,5,1,1,1,-1,14,5,6,0,1,0,1,0,1,18,0,0,6,6,6,12,0,0,6,8,6,11.28571429,0,8.9,1.4,3.51,1
1152,1,8,1,2,1,1,1,22,27,10,-1,1,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,0
1155,1,1,3,12,1,1,1,1,27,8,8,1,0,0,1,0,0,19,0,0,8,11,7,13.25857143,0,0,8,11,7,13.25857143,0,10.8,1.4,1.74,1
1157,1,8,1,11,1,1,1,23,27,10,8,1,0,0,0,0,0,19,0,0,6,9,3,11.66666667,0,0,6,15,1,10,0,10.8,1.4,1.74,0
1158,1,-1,4,11,1,1,1,23,27,10,8,1,0,0,1,0,1,21,0,0,6,7,6,13.57142857,0,0,6,6,6,12.5,0,8.9,1.4,3.51,1
1159,1,1,2,15,1,1,-1,1,27,10,8,0,0,0,1,0,1,20,1,0,6,9,5,11.8,0,0,6,9,5,11.83333333,0,15.5,2.8,-4.06,1
1160,1,1,1,9,1,1,1,13,14,4,10,1,0,0,1,0,1,20,0,0,5,7,5,14.2,0,0,5,7,5,13.28571429,0,11.1,0.6,2.02,1
1161,1,12,1,17,0,12,1,22,27,10,10,0,0,0,1,0,0,41,0,0,5,8,5,11,0,0,5,6,5,11.8,1,7.6,2.6,0.32,1
1163,1,8,3,12,1,1,1,23,1,10,6,1,0,0,1,0,0,18,0,0,8,8,7,14.65285714,0,0,8,8,7,14.65285714,0,10.8,1.4,1.74,1
1164,-1,12,1,3,0,1,1,22,27,4,5,0,0,0,1,0,1,35,0,0,6,9,6,11.33333333,0,0,6,6,6,11.33333333,0,15.5,2.8,-4.06,1
1165,1,12,1,12,1,1,1,22,27,10,10,0,0,1,0,0,0,32,0,0,7,12,4,13.7,0,0,7,7,0,0,0,16.2,0.3,-0.92,0
1166,1,12,1,3,0,-1,1,13,27,6,10,0,0,0,1,0,0,37,0,7,11,11,11,13.72727273,0,4,8,8,8,14.75,0,12.4,0.5,1.79,1
1167,2,12,2,9,1,-1,1,3,27,10,10,0,0,0,1,0,0,30,0,4,7,9,7,11.75,0,3,8,12,7,11.14285714,0,12.7,3.7,-1.7,0
1168,1,14,2,15,1,1,1,13,14,-1,-1,0,0,0,1,1,0,23,0,0,6,9,6,12.33333333,0,0,6,11,5,13,0,7.6,2.6,0.32,1
1169,1,8,2,15,1,1,1,3,1,3,8,1,0,0,1,0,1,20,0,0,6,6,6,14,0,0,6,7,6,13.85714286,0,15.5,2.8,-4.06,0
1170,1,1,1,14,1,1,1,13,27,6,8,0,0,0,1,1,0,21,0,0,5,7,4,11.5,0,0,5,6,4,11.75,0,9.4,-0.8,-3.12,1
1171,1,1,1,9,1,1,1,23,14,6,8,0,0,0,1,1,0,19,0,0,5,6,5,11.2,0,0,5,5,5,13.2,0,12.4,0.5,1.79,1
1172,1,8,4,12,1,1,1,1,14,5,4,1,0,0,1,1,1,18,0,0,8,8,7,15.07,0,0,8,8,7,15.07,0,10.8,1.4,1.74,1
1173,1,-1,1,7,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,18,0,0,5,6,1,10,0,0,5,7,1,12,0,10.8,1.4,1.74,0
1175,1,-1,1,14,1,1,1,1,27,10,10,1,0,0,1,1,0,22,0,0,6,11,4,13,0,0,6,11,4,12.6,0,12.7,3.7,-1.7,1
1176,1,8,4,11,1,1,1,13,1,6,6,1,0,0,1,1,0,18,0,0,6,7,4,11,0,0,6,7,3,11.25,0,16.2,0.3,-0.92,0
1177,1,-1,2,10,1,1,1,22,27,6,7,1,0,0,1,0,0,18,0,0,6,8,6,13.57142857,0,0,6,11,5,12.16666667,0,9.4,-0.8,-3.12,1
1178,1,1,2,5,1,1,-1,-1,1,10,-1,1,0,0,1,1,0,21,1,0,6,7,5,14.6,0,0,6,6,5,14.2,0,16.2,0.3,-0.92,1
1179,-1,12,1,12,1,1,1,22,27,10,10,0,0,1,1,0,0,38,0,0,7,13,3,11.83333333,0,0,7,14,2,10,0,16.2,0.3,-0.92,0
1180,1,-1,1,-1,1,1,1,23,27,10,10,0,0,0,1,0,1,19,0,0,7,11,7,12.625,0,0,8,11,8,12.5125,0,12.7,3.7,-1.7,1
1181,-1,12,1,12,1,1,1,22,27,10,10,0,0,0,1,0,0,36,0,0,7,12,4,11.5,0,0,7,14,3,12.33333333,0,16.2,0.3,-0.92,0
1182,1,-1,1,6,1,1,1,1,1,10,10,1,0,0,1,0,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,1
1183,1,1,3,12,1,1,1,13,14,6,6,1,0,0,1,0,0,19,0,0,7,9,7,12.60625,0,0,8,12,6,11.9,0,12.4,0.5,1.79,1
1184,1,-1,1,6,1,-1,1,13,28,10,10,0,0,1,0,0,0,21,0,7,10,15,8,13.75,0,4,9,17,5,13.2,0,8.9,1.4,3.51,0
1186,1,1,1,10,1,1,1,13,14,10,10,0,0,0,1,0,1,18,0,0,6,11,5,11.14285714,0,0,6,8,6,12.28571429,0,16.2,0.3,-0.92,1
1188,1,8,1,9,1,1,1,22,27,10,8,1,0,0,1,0,0,20,0,0,5,9,1,10,0,0,5,10,1,11,0,7.6,2.6,0.32,0
1189,1,8,1,11,1,1,1,13,1,6,8,1,0,1,1,0,0,18,0,0,6,8,6,11.66666667,0,0,6,10,4,11.5,0,13.9,-0.3,0.79,1
1190,1,1,1,14,1,1,1,1,14,5,5,0,0,0,1,0,1,18,0,0,6,8,6,14,0,0,6,7,6,13.14285714,0,11.1,0.6,2.02,1
1191,1,-1,2,-1,1,-1,1,-1,-1,-1,-1,0,0,0,1,0,0,25,0,0,5,9,0,0,4,0,5,9,0,0,3,10.8,1.4,1.74,0
1192,1,1,-1,12,1,1,1,1,1,5,5,1,0,0,1,0,0,19,0,0,8,9,7,12.04142857,0,0,8,9,7,12.04142857,0,10.8,1.4,1.74,1
1193,1,1,1,2,1,1,1,13,14,8,8,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,1
1194,1,-1,1,11,1,-1,1,1,1,4,7,0,0,0,1,0,0,39,0,12,13,14,13,13.76923077,0,9,12,16,12,14.58333333,0,13.9,-0.3,0.79,1
1195,2,12,1,4,1,1,1,23,27,10,10,0,0,0,1,0,0,29,0,13,18,20,18,15.44444444,0,11,13,13,13,15.30769231,0,15.5,2.8,-4.06,1
